step	loss
4	1.5389578342437744
9	1.5294673442840576
14	1.60428786277771
19	1.4525713920593262
24	1.4009456634521484
29	1.5907375812530518
34	1.4833917617797852
39	1.429625391960144
44	1.5880012512207031
49	1.5985724925994873
54	1.4594132900238037
59	1.4602015018463135
64	1.5929187536239624
69	1.4652099609375
74	1.4602347612380981
79	1.5750497579574585
84	1.6013133525848389
89	1.4959161281585693
94	1.498347282409668
99	1.5897122621536255
104	1.4512760639190674
109	1.4009456634521484
114	1.585709571838379
119	1.4833917617797852
124	1.429625391960144
129	1.5880012512207031
134	1.5985724925994873
139	1.4594132900238037
144	1.4602015018463135
149	1.5929187536239624
154	1.4652099609375
159	1.4602347612380981
164	1.5750497579574585
169	1.6013133525848389
174	1.4959161281585693
179	1.498347282409668
184	1.5897122621536255
189	1.4512760639190674
194	1.4009456634521484
199	1.585709571838379
204	1.4833917617797852
209	1.429625391960144
214	1.5880012512207031
219	1.5985724925994873
224	1.4594132900238037
229	1.4602015018463135
234	1.5929187536239624
239	1.4652099609375
244	1.4602347612380981
249	1.5750497579574585
254	1.6013133525848389
259	1.4959161281585693
264	1.498347282409668
269	1.5897122621536255
274	1.4512760639190674
279	1.4009456634521484
284	1.585709571838379
289	1.4833917617797852
294	1.429625391960144
299	1.5880012512207031
304	1.5985724925994873
309	1.4594132900238037
314	1.4602015018463135
319	1.5929187536239624
324	1.4652099609375
329	1.4602347612380981
334	1.5750497579574585
339	1.6013133525848389
